,tconst,ordering,nconst,category,job,characters
537540,tt0064148,1,nm0000060,actor,\N,"[""John Hathaway""]"
537541,tt0064148,2,nm0382391,actress,\N,"[""Kay Hanna""]"
537542,tt0064148,3,nm0384050,actor,\N,"[""Shelby""]"
537543,tt0064148,4,nm0229668,actor,\N,"[""Benson""]"
537881,tt0064184,1,nm0000024,actor,\N,"[""The Writer""]"
537882,tt0064184,2,nm0000027,actor,\N,"[""The Executioner""]"
538451,tt0064247,1,nm0001276,actor,\N,"[""Walter Hollander""]"
538452,tt0064247,2,nm0663820,actress,\N,"[""Marion Hollander""]"
538453,tt0064247,3,nm0078783,actor,\N,"[""Axel Magee""]"
538454,tt0064247,4,nm0216301,actress,\N,"[""Susan Hollander""]"
538501,tt0064253,1,nm0000602,actor,\N,"[""Chappellet""]"
538502,tt0064253,2,nm0000432,actor,\N,"[""Claire""]"
538503,tt0064253,3,nm0817122,actress,\N,"[""Carole""]"
538504,tt0064253,4,nm0901044,actor,\N,"[""Machet""]"
538557,tt0064259,1,nm0000063,actor,\N,"[""Matsoukas""]"
538558,tt0064259,2,nm0660327,actress,\N,"[""Caliope""]"
538559,tt0064259,3,nm0828447,actress,\N,"[""Anna""]"
538560,tt0064259,4,nm0505249,actor,\N,"[""Cicero""]"
538697,tt0064276,1,nm0001228,actor,\N,"[""Wyatt""]"
538698,tt0064276,2,nm0000454,actor,\N,"[""Billy""]"
538699,tt0064276,3,nm0000197,actor,\N,"[""George Hanson""]"
538700,tt0064276,4,nm0579234,actor,\N,"[""Jesus""]"
539652,tt0064379,1,nm0000053,actor,\N,"[""Flagg""]"
539653,tt0064379,2,nm0001421,actor,\N,"[""McKay""]"
539654,tt0064379,3,nm0000842,actor,\N,"[""Mayor Wilker""]"
539655,tt0064379,4,nm0001016,actor,\N,"[""Waco""]"
539674,tt0064382,1,nm0000564,actor,\N,"[""Arthur Chipping""]"
539675,tt0064382,2,nm0164379,actress,\N,"[""Katherine Bridges""]"
539676,tt0064382,3,nm0714878,actor,\N,"[""The Headmaster""]"
539677,tt0064382,4,nm0048468,actor,\N,"[""Lord Sutterwick""]"
539804,tt0064397,1,nm0000044,actor,\N,"[""Mike Rettig""]"
539805,tt0064397,2,nm0000039,actress,\N,"[""Elizabeth Brandon""]"
539806,tt0064397,3,nm0000432,actor,\N,"[""Joe Browdy""]"
539807,tt0064397,4,nm0934113,actor,\N,"[""Malcolm Webson""]"
539815,tt0064399,1,nm0447913,actor,\N,"[""Albert Dixon""]"
539816,tt0064399,2,nm0942863,actress,\N,"[""Santha Dixon""]"
539817,tt0064399,3,nm0000140,actor,\N,"[""Carl Dixon""]"
539818,tt0064399,4,nm0488024,actor,\N,"[""Mr. Conklin""]"
539825,tt0064400,1,nm0932116,actor,\N,"[""Hamlet""]"
539826,tt0064400,2,nm0661407,actress,\N,"[""Gertrude""]"
